,Gene,Organism
0,secB,Acidiphilium_cryptum
1,prfA,Acidiphilium_cryptum
5,rplB,Acidiphilium_cryptum
6,prfB,Acidiphilium_cryptum
12,rpmD,Acidiphilium_cryptum
13,greA,Acidiphilium_cryptum
14,atpH,Acidiphilium_cryptum
15,rplX,Acidiphilium_cryptum
19,efp,Acidiphilium_cryptum
27,HBB,Acidiphilium_cryptum
31,groL,Acidiphilium_cryptum
40,eno,Acidiphilium_cryptum
42,tolB,Acidiphilium_cryptum
54,metK,Acidiphilium_cryptum
55,groS,Acidiphilium_cryptum
66,rplL,Acidiphilium_cryptum
71,HBA1,Acidiphilium_cryptum
74,ndk,Acidiphilium_cryptum
75,rplK,Acidiphilium_cryptum
103,rpsT,Acidiphilium_cryptum
109,mdh,Acidiphilium_cryptum
131,tig,Acidiphilium_cryptum
136,pdxS,Acidiphilium_cryptum
144,fusA,Acidiphilium_cryptum
146,grpE,Acidiphilium_cryptum
151,pnp,Acidiphilium_cryptum
177,tsf,Acidiphilium_cryptum
189,acpP,Acidiphilium_cryptum
192,tuf,Acidiphilium_cryptum
240,rplJ,Acidiphilium_cryptum
241,sucC,Acidiphilium_cryptum
259,atpD,Acidiphilium_cryptum
296,frr,Acidiphilium_cryptum
300,rpsS,Acidiphilium_cryptum
365,zwf,Acidiphilium_cryptum
366,ribH,Acidiphilium_cryptum
403,ppa,Acidiphilium_cryptum
441,tatA,Acidiphilium_cryptum
464,rpsQ,Acidiphilium_cryptum
469,rpoC,Acidiphilium_cryptum
473,rplV,Acidiphilium_cryptum
475,rne,Acidiphilium_cryptum
477,rplO,Acidiphilium_cryptum
548,rplC,Acidiphilium_cryptum
581,dnaK,Acidiphilium_cryptum
673,acsA,Acidiphilium_cryptum
705,glgA,Acidiphilium_cryptum
710,dapA,Acidiphilium_cryptum
719,rpsI,Acidiphilium_cryptum
733,rplY,Acidiphilium_cryptum
734,atpA,Acidiphilium_cryptum
789,psd,Acidiphilium_cryptum
894,pdhA,Acidiphilium_cryptum
895,trpA,Acidiphilium_cryptum
911,ilvE,Acidiphilium_cryptum
960,ribB,Acidiphilium_cryptum
1017,trpS,Acidiphilium_cryptum
1050,nusA,Acidiphilium_cryptum
1053,katG,Acidiphilium_cryptum
1249,rpmG,Acidiphilium_cryptum
1272,thiC,Acidiphilium_cryptum
1333,asd,Acidiphilium_cryptum
1388,rpoZ,Acidiphilium_cryptum
1426,rpsE,Acidiphilium_cryptum
1528,ilvC,Acidiphilium_cryptum
1548,rpsG,Acidiphilium_cryptum
1639,tig,Bacillus_cereus
1640,glmS,Bacillus_cereus
1642,rplC,Bacillus_cereus
1645,hslU,Bacillus_cereus
1648,ndk,Bacillus_cereus
1652,guaB,Bacillus_cereus
1654,tsf,Bacillus_cereus
1670,ldh,Bacillus_cereus
1677,glpK,Bacillus_cereus
1680,rpsL,Bacillus_cereus
1682,rpsB,Bacillus_cereus
1683,prfB,Bacillus_cereus
1687,pgi,Bacillus_cereus
1695,gpsA,Bacillus_cereus
1710,rpsE,Bacillus_cereus
1715,rplO,Bacillus_cereus
1717,hutU,Bacillus_cereus
1726,tuf,Bacillus_cereus
1739,rplQ,Bacillus_cereus
1753,rpsG,Bacillus_cereus
1757,rpsH,Bacillus_cereus
1764,fusA,Bacillus_cereus
1777,rplB,Bacillus_cereus
1778,sucD,Bacillus_cereus
1783,rpsS,Bacillus_cereus
1789,frr,Bacillus_cereus
1791,rpsD,Bacillus_cereus
1793,rplF,Bacillus_cereus
1795,rplX,Bacillus_cereus
1800,alaS,Bacillus_cereus
1822,dnaK,Bacillus_cereus
1826,rplL,Bacillus_cereus
1831,gcvT,Bacillus_cereus
1834,pckA,Bacillus_cereus
1848,sucC,Bacillus_cereus
1849,pyrG,Bacillus_cereus
1856,metK,Bacillus_cereus
1881,rplJ,Bacillus_cereus
1888,rplU,Bacillus_cereus
1892,tpiA,Bacillus_cereus
1914,rpsK,Bacillus_cereus
1921,serS,Bacillus_cereus
1922,pdhA,Bacillus_cereus
1923,rpsQ,Bacillus_cereus
1931,rplW,Bacillus_cereus
