	Gene	Organism
0	secB	Acidiphilium_cryptum
1	prfA	Acidiphilium_cryptum
5	prfB	Acidiphilium_cryptum
9	greA	Acidiphilium_cryptum
10	atpH	Acidiphilium_cryptum
14	efp	Acidiphilium_cryptum
21	groL	Acidiphilium_cryptum
29	eno	Acidiphilium_cryptum
31	tolB	Acidiphilium_cryptum
40	metK	Acidiphilium_cryptum
50	rplL	Acidiphilium_cryptum
57	ndk	Acidiphilium_cryptum
58	rplK	Acidiphilium_cryptum
80	groS	Acidiphilium_cryptum
85	rpsT	Acidiphilium_cryptum
109	tig	Acidiphilium_cryptum
114	pdxS	Acidiphilium_cryptum
122	fusA	Acidiphilium_cryptum
124	grpE	Acidiphilium_cryptum
129	pnp	Acidiphilium_cryptum
160	acpP	Acidiphilium_cryptum
163	tuf	Acidiphilium_cryptum
170	tsf	Acidiphilium_cryptum
200	rplJ	Acidiphilium_cryptum
216	atpD	Acidiphilium_cryptum
243	rpsS	Acidiphilium_cryptum
257	mdh	Acidiphilium_cryptum
294	zwf	Acidiphilium_cryptum
295	ribH	Acidiphilium_cryptum
329	ppa	Acidiphilium_cryptum
368	tatA	Acidiphilium_cryptum
377	rpoC	Acidiphilium_cryptum
380	rne	Acidiphilium_cryptum
382	rplO	Acidiphilium_cryptum
391	rplX	Acidiphilium_cryptum
414	frr	Acidiphilium_cryptum
435	rplC	Acidiphilium_cryptum
467	dnaK	Acidiphilium_cryptum
548	acsA	Acidiphilium_cryptum
593	atpA	Acidiphilium_cryptum
732	pdhA	Acidiphilium_cryptum
744	ilvE	Acidiphilium_cryptum
835	trpS	Acidiphilium_cryptum
860	nusA	Acidiphilium_cryptum
863	katG	Acidiphilium_cryptum
911	sucC	Acidiphilium_cryptum
1014	rpmG	Acidiphilium_cryptum
1085	asd	Acidiphilium_cryptum
1130	rpoZ	Acidiphilium_cryptum
1241	ilvC	Acidiphilium_cryptum
1257	rpsG	Acidiphilium_cryptum
1329	rpsQ	Bacillus_subtilis
1340	rplK	Bacillus_subtilis
1341	prfB	Bacillus_subtilis
1344	rpsB	Bacillus_subtilis
1349	pdhA	Bacillus_subtilis
1352	gatB	Bacillus_subtilis
1354	atpG	Bacillus_subtilis
1356	rplL	Bacillus_subtilis
1358	der	Bacillus_subtilis
1361	lysS	Bacillus_subtilis
1362	rplU	Bacillus_subtilis
1364	metK	Bacillus_subtilis
1366	sucC	Bacillus_subtilis
1367	gyrA	Bacillus_subtilis
1368	accA	Bacillus_subtilis
1374	zwf	Bacillus_subtilis
1377	atpF	Bacillus_subtilis
1380	rpsC	Bacillus_subtilis
1382	tsf	Bacillus_subtilis
1383	tuf	Bacillus_subtilis
1389	atpA	Bacillus_subtilis
1390	groS	Bacillus_subtilis
1391	ndk	Bacillus_subtilis
1394	pckA	Bacillus_subtilis
1400	rpsP	Bacillus_subtilis
1406	pgk	Bacillus_subtilis
1414	groL	Bacillus_subtilis
1428	eno	Bacillus_subtilis
1436	dnaK	Bacillus_subtilis
1443	fusA	Bacillus_subtilis
1452	tig	Bacillus_subtilis
1455	atpD	Bacillus_subtilis
1456	rplC	Bacillus_subtilis
1467	aroA	Bacillus_subtilis
1468	kbl	Bacillus_subtilis
1473	rplJ	Bacillus_subtilis
1474	rplB	Bacillus_subtilis
1480	ahpC	Bacillus_subtilis
1481	rpsG	Bacillus_subtilis
1488	rplE	Bacillus_subtilis
1490	tpiA	Bacillus_subtilis
1499	menB	Bacillus_subtilis
1506	pfkA	Bacillus_subtilis
1509	dnaN	Bacillus_subtilis
1512	ftsZ	Bacillus_subtilis
1516	sucD	Bacillus_subtilis
1517	rpsH	Bacillus_subtilis
1520	pta	Bacillus_subtilis
1535	glyS	Bacillus_subtilis
1540	argS	Bacillus_subtilis
1572	atpC	Bacillus_subtilis
1577	mdh	Bacillus_subtilis
1599	gcvH	Bacillus_subtilis
1603	tpx	Bacillus_subtilis
1620	pgi	Bacillus_subtilis
1623	serS	Bacillus_subtilis
1630	fumC	Bacillus_subtilis
1637	tal	Bacillus_subtilis
1649	rpoA	Bacillus_subtilis
