,Gene,Organism
2,rsfS,acidovorans
6,infB,acidovorans
9,rpsF,acidovorans
10,nusG,acidovorans
14,rplM,acidovorans
23,rpsQ,acidovorans
24,argH,acidovorans
26,argG,acidovorans
27,prfB,acidovorans
33,rpsC,acidovorans
37,clpB,acidovorans
38,rpsD,acidovorans
41,rho,acidovorans
44,aspS,acidovorans
50,glyA,acidovorans
52,rpsE,acidovorans
54,rplS,acidovorans
55,sucC,acidovorans
56,pyrG,acidovorans
60,rplE,acidovorans
62,rpsR,acidovorans
64,rpmG,acidovorans
66,rpoB,acidovorans
67,efp,acidovorans
68,gatB,acidovorans
71,rplX,acidovorans
72,dnaK,acidovorans
75,fusA,acidovorans
76,hisS,acidovorans
79,mdh,acidovorans
80,carA,acidovorans
82,pyrE,acidovorans
83,rpsH,acidovorans
87,rplA,acidovorans
88,tuf,acidovorans
90,ftsY,acidovorans
92,rplI,acidovorans
93,rpoA,acidovorans
95,rplB,acidovorans
97,guaB,acidovorans
101,hutU,acidovorans
102,dnaX,acidovorans
104,rplF,acidovorans
105,rplC,acidovorans
109,rpsT,acidovorans
110,obg,acidovorans
111,tatA,acidovorans
113,groL,acidovorans
115,ahcY,acidovorans
116,tyrS,acidovorans
119,purC,acidovorans
121,tsf,acidovorans
124,sucD,acidovorans
126,rplP,acidovorans
127,ddl,acidovorans
128,atpD,acidovorans
131,rplJ,acidovorans
135,rplL,acidovorans
140,rnr,acidovorans
142,tig,acidovorans
147,rpsB,acidovorans
154,argS,acidovorans
155,rpmC,acidovorans
171,rpsL,acidovorans
172,rplY,acidovorans
181,rpoC,acidovorans
184,nusA,acidovorans
186,rpsS,acidovorans
188,glyS,acidovorans
191,rplU,acidovorans
196,thrS,acidovorans
202,rplO,acidovorans
207,mutS,acidovorans
209,serS,acidovorans
216,alaS,acidovorans
220,groS,acidovorans
246,rplT,acidovorans
256,rpmD,acidovorans
264,atpA,acidovorans
267,rpsI,acidovorans
270,rplW,acidovorans
271,purL,acidovorans
275,acpP,acidovorans
278,ndk,acidovorans
280,rplK,acidovorans
281,rpsK,acidovorans
285,trpS,acidovorans
287,purM,acidovorans
296,der,acidovorans
297,rplD,acidovorans
299,rplR,acidovorans
301,infA,acidovorans
323,rpsP,acidovorans
324,gcvP,acidovorans
342,pgk,acidovorans
344,rpmF,acidovorans
350,eno,acidovorans
351,ilvC,acidovorans
358,rpsN,acidovorans
368,htpG,acidovorans
370,pnp,acidovorans
392,ackA,acidovorans
393,rpsJ,acidovorans
396,frr,acidovorans
406,purD,acidovorans
426,rpsO,acidovorans
431,tpiA,acidovorans
437,aroC,acidovorans
443,thiC,acidovorans
445,folD,acidovorans
448,rplV,acidovorans
449,dxs,acidovorans
473,pheT,acidovorans
495,ppa,acidovorans
522,ilvD,acidovorans
528,rpsG,acidovorans
556,clpP,acidovorans
558,rplN,acidovorans
563,metG,acidovorans
568,gyrA,acidovorans
589,prs,acidovorans
590,atpG,acidovorans
591,infC,acidovorans
596,argB,acidovorans
602,fumC,acidovorans
